# SEED LIST — S&P SmallCap 600 (partial).
# Hand-seeded with liquid small caps. NOT the full 600 and NOT authoritative;
# refresh on a networked machine with:  swing universe --fetch
# Note: small caps are where the liquidity filter earns its keep — many names
# here will be screened out by min_dollar_volume, and that is the point.
# Columns: symbol,kind,name
symbol,kind,name
KMT,stock,Kennametal
KTB,stock,Kontoor Brands
KWR,stock,Quaker Houghton
LANC,stock,Lancaster Colony
LCII,stock,LCI Industries
LGIH,stock,LGI Homes
LNN,stock,Lindsay Corp
LRN,stock,Stride Inc
LXP,stock,LXP Industrial Trust
LZB,stock,La-Z-Boy
MATX,stock,Matson Inc
MC,stock,Moelis & Co
MCY,stock,Mercury General
MDU,stock,MDU Resources Group
MGEE,stock,MGE Energy
MGY,stock,Magnolia Oil & Gas
MHO,stock,M/I Homes
MLI,stock,Mueller Industries
MMS,stock,Maximus Inc
MMSI,stock,Merit Medical Systems
MOG.A,stock,Moog Inc Class A
MPW,stock,Medical Properties Trust
MTRN,stock,Materion Corp
MTX,stock,Minerals Technologies
MYRG,stock,MYR Group
NABL,stock,N-able Inc
NARI,stock,Inari Medical
NBTB,stock,NBT Bancorp
NEO,stock,NeoGenomics
NHC,stock,National HealthCare
NMIH,stock,NMI Holdings
NPO,stock,Enpro Inc
NSIT,stock,Insight Enterprises
NWE,stock,NorthWestern Energy
NWL,stock,Newell Brands
OII,stock,Oceaneering International
OSIS,stock,OSI Systems
OTTR,stock,Otter Tail Corp
OXM,stock,Oxford Industries
PATK,stock,Patrick Industries
PBH,stock,Prestige Consumer Healthcare
PDCO,stock,Patterson Companies
PECO,stock,Phillips Edison & Co
PIPR,stock,Piper Sandler
PJT,stock,PJT Partners
PLXS,stock,Plexus Corp
PLUS,stock,ePlus Inc
POWI,stock,Power Integrations
POWL,stock,Powell Industries
PRGS,stock,Progress Software
PRK,stock,Park National
PTEN,stock,Patterson-UTI Energy
QLYS,stock,Qualys
RDN,stock,Radian Group
RUSHA,stock,Rush Enterprises
SANM,stock,Sanmina
SBCF,stock,Seacoast Banking
SFNC,stock,Simmons First National
SHOO,stock,Steven Madden
SITM,stock,SiTime
SJW,stock,SJW Group
SKYW,stock,SkyWest
SLVM,stock,Sylvamo
SMPL,stock,Simply Good Foods
SMTC,stock,Semtech
SNEX,stock,StoneX Group
SPSC,stock,SPS Commerce
SPXC,stock,SPX Technologies
SR,stock,Spire Inc
STRA,stock,Strategic Education
SUPN,stock,Supernus Pharmaceuticals
SXI,stock,Standex International
SXT,stock,Sensient Technologies
TDS,stock,Telephone and Data Systems
TGNA,stock,TEGNA Inc
THRM,stock,Gentherm
TMP,stock,Tompkins Financial
TNC,stock,Tennant Co
TPH,stock,Tri Pointe Homes
TRN,stock,Trinity Industries
TRUP,stock,Trupanion
UCTT,stock,Ultra Clean Holdings
UE,stock,Urban Edge Properties
UFPT,stock,UFP Technologies
UNF,stock,UniFirst Corp
URBN,stock,Urban Outfitters
UVV,stock,Universal Corp
VECO,stock,Veeco Instruments
VIAV,stock,Viavi Solutions
VRRM,stock,Verra Mobility
VSCO,stock,Victoria's Secret
VSEC,stock,VSE Corp
WABC,stock,Westamerica Bancorporation
WD,stock,Walker & Dunlop
WDFC,stock,WD-40 Co
WERN,stock,Werner Enterprises
WGO,stock,Winnebago Industries
WSFS,stock,WSFS Financial
WWD,stock,Woodward Inc
XHR,stock,Xenia Hotels & Resorts
XPEL,stock,XPEL Inc
YELP,stock,Yelp
ZWS,stock,Zurn Elkay Water Solutions
