symbol,name
BL,"BlackLine Systems, Inc."
BLFS,"BioLife Solutions, Inc."
BLKB,Blackbaud
BMI,"Badger Meter, Inc."
BNL,"Broadstone Net Lease, Inc."
BOH,Bank of Hawaii
BOOT,"Boot Barn Holdings, Inc."
BOX,"Box, Inc."
BRC,Brady Corporation
BTU,"Peabody Energy, Inc."
BXMT,"Blackstone Mortgage Trust, Inc."
CACC,Credit Acceptance
CAG,Conagra Brands
CAKE,"The Cheesecake Factory, Inc."
CALM,"Cal-Maine Foods, Inc."
CALX,Calix
CALY,Callaway Golf Company
CARG,CarGurus
CASH,"Pathward Financial, Inc."
CATY,Cathay General Bancorp
CBRL,Cracker Barrel
CBU,"Community Bank System, Inc."
CC,Chemours
CCOI,"Cogent Communications Holdings, Inc."
CCS,"Century Communities, Inc."
CE,Celanese
CENT,Central Garden & Pet Company
CENTA,Central Garden & Pet Company (Class A)
CENX,Century Aluminum Company
CERT,"Certara, Inc."
CFFN,Capitol Federal Savings Bank
CHCO,City Holding Company
CHEF,"Chefs' Warehouse, Inc."
CLSK,"CleanSpark, Inc."
CNK,"Cinemark Holdings, Inc."
CNMD,CONMED Corporation
CNR,"Core Natural Resources, Inc."
CNS,"Cohen & Steers, Inc."
CNXC,Concentrix
CNXN,"PC Connection, Inc."
COCO,The Vita Coco Company
COHU,"Cohu, Inc."
COLL,"Collegium Pharmaceutical, Inc."
CON,"Concentra Group Holdings Parent, Inc."
CORT,Corcept Therapeutics Incorporated
COTY,Coty
CPB,The Campbell's Company
CPF,Central Pacific Financial Corp.
CPK,Chesapeake Utilities Corp.
CRC,California Resources Corporation
CRGY,Crescent Energy Company
CRI,"Carter's, Inc."
CRK,"Comstock Resources, Inc."
CRSR,Corsair Gaming
CRVL,CorVel Corporation
CSR,Centerspace Trust
CSW,"CSW Industrials, Inc."
CTS,CTS Corporation
CUBI,"Customers Bancorp, Inc."
CURB,Curbline Properties Corp.
CVBF,CVB Financial Corp.
CVCO,"Cavco Industries, Inc."
CVI,"CVR Energy, Inc."
CVSA,Covista Inc.
CWEN,"Clearway Energy, Inc. (Class C)"
CWEN-A,"Clearway Energy, Inc. (Class A)"
CWK,Cushman & Wakefield plc
CWST,"Casella Waste Systems, Inc."
CWT,California Water Service Group
CXM,"Sprinklr, Inc."
CXW,CoreCivic
CZR,Caesars Entertainment
DAN,Dana Incorporated
DAVE,"Dave, Inc."
DBD,Diebold Nixdorf
DCH,Dauch Corporation
DCOM,"Dime Community Bancshares, Inc."
DEA,"Easterly Government Properties, Inc."
DEI,Douglas Emmett
DFH,"Dream Finders Homes, Inc."
DFIN,"Donnelley Financial Solutions, Inc."
DGII,Digi International Inc.
DIOD,Diodes Incorporated
DLX,Deluxe Corporation
DMC,Del Monte Corporation
DNOW,NOW Inc
DORM,"Dorman Products, Inc."
DRH,DiamondRock Hospitality Company
DV,DoubleVerify Holdings Inc.
DXC,DXC Technology
DXPE,"DXP Enterprises, Inc."
EAT,"Brinker International, Inc."
EBC,"Eastern Bankshares, Inc."
ECG,"Everus Construction Group, Inc."
ECPG,"Encore Capital Group, Inc."
EFC,"Ellington Financial, Inc."
EFOR,Everforth Inc.
EGBN,Eagle Bancorp Inc
EIG,"Employers Holdings, Inc."
EMN,Eastman Chemical Company
ENOV,Enovis
ENPH,Enphase Energy
ENR,Energizer
ENVA,"Enova International, Inc."
EPAC,Enerpac Tool Group
EPAM,EPAM Systems
EPC,Edgewell Personal Care
EPRT,"Essential Properties Realty Trust, Inc."
ESE,ESCO Technologies Inc.
ESI,Element Solutions
ETSY,Etsy
EVTC,"EVERTEC, Inc."
EXTR,"Extreme Networks, Inc."
EYE,National Vision Holdings
EZPW,"EZCORP, Inc."
FA,First Advantage Corporation
FBK,FB Financial Corp.
FBNC,First Bancorp (Southern Pines NC)
FBP,First BanCorp (Puerto Rico)
FBRT,"Franklin BSP Realty Trust, Inc."
FCF,"First Commonwealth Financial, Corp."
FCPT,"Four Corners Property Trust, Inc."
FELE,Franklin Electric
FFBC,First Financial Bancorp
FG,"F&G Annuities & Life, Inc."
FHB,"First Hawaiian, Inc."
FIBK,"First Interstate BancSystem, Inc."
FIVN,"Five9, Inc."
FIZZ,National Beverage Corp.
FLO,Flowers Foods
FMC,FMC Corporation
FORM,"FormFactor, Inc."
FOXF,Fox Factory
FRPT,Freshpet
FSS,Federal Signal Corporation
FTDR,"Frontdoor, Inc."
FTRE,Fortrea
FUL,H.B. Fuller Company
FULT,Fulton Financial Corporation
FUN,Six Flags
GBX,"The Greenbrier Companies, Inc."
GEO,"GEO Group, Inc."
GFF,Griffon Corporation
GIII,"G-III Apparel Group, Ltd."
GKOS,Glaukos Corp.
GNL,"Global Net Lease, Inc."
GNW,"Genworth Financial, Inc."
GO,Grocery Outlet
GOLF,Acushnet Company
GPI,"Group 1 Automotive, Inc."
GPOR,Gulfport Energy Corporation
GRBK,"Green Brick Partners, Inc."
GSHD,"Goosehead Insurance, Inc."
GT,Goodyear Tire and Rubber Company
GTES,Gates Corporation
GTM,ZoomInfo
GTY,Getty Realty Corp.
GVA,"Granite Construction, Inc."
HAFC,Hanmi Financial Corporation
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc."
HAYW,"Hayward Holdings, Inc."
HCC,"Warrior Met Coal, Inc."
HCI,"HCI Group, Inc."
HCSG,"Healthcare Services Group, Inc."
HE,"Hawaiian Electric Industries, Inc."
HFWA,Heritage Financial Corporation
HIW,Highwoods Properties
HLIT,Harmonic Inc.
HLX,"Helix Energy Solutions Group, Inc."
HMN,Horace Mann Educators Corporation
HNI,HNI Corporation
HOPE,"Hope Bancorp, Inc."
HP,"Helmerich & Payne, Inc."
HRMY,"Harmony Biosciences Holdings, Inc."
HSTM,"HealthStream, Inc."
HTH,Hilltop Holdings Inc.
HTLD,"Heartland Express, Inc."
HTO,H2O America
HUBG,"Hub Group, Inc."
HWKN,"Hawkins, Inc."
HZO,"MarineMax, Inc."
IART,Integra Lifesciences Holdings
IBP,"Installed Building Products, Inc."
ICHR,"Ichor Holdings, Ltd."
ICUI,ICU Medical
IIPR,"Innovative Industrial Properties, Inc."
INDB,Independent Bank Corp.
INDV,Indivior
INSP,"Inspire Medical Systems, Inc."
INSW,"International Seaways, Inc."
INVA,"Innoviva, Inc."
INVX,"Innovex International, Inc."
IOSP,"Innospec, Inc."
IPAR,"Inter Parfums, Inc."
IRDM,Iridium Communications
ITGR,Integer Holdings Corporation
ITRI,"Itron, Inc."
IVT,InvenTrust Properties
JBGS,JBG Smith
JBLU,JetBlue
JBSS,"John B. Sanfilippo & Son, Inc."
JBTM,JBT Marel Corporation
JJSF,J&J Snack Foods Corp.
JOE,St. Joe Company
JXN,"Jackson Financial, Inc."
KAI,Kadant Inc.
KALU,Kaiser Aluminum Corporation
KFY,Korn/Ferry International
KGS,"Kodiak Gas Services, Inc."
KLIC,"Kulicke and Soffa Industries, Inc."
KMPR,Kemper Corporation
KMT,Kennametal
KMX,"CarMax, Inc."
KN,Knowles Corporation
KNTK,"Kinetik Holdings, Inc."
KOP,"Koppers Holdings, Inc."
KRMN,Karman Holdings
KSS,Kohl's Corp.
KTB,Kontoor Brands
KWR,Quaker Chemical Corporation
LAUR,"Laureate Education, Inc."
LAZ,Lazard
LBRT,"Liberty Energy, Inc."
LCII,LCI Industries
LEG,Leggett & Platt
LEU,Centrus Energy Corp.
LFST,Lifestance Health
LGIH,LGI Homes
LGND,"Ligand Pharmaceuticals, Inc."
LIF,Life360
LKFN,Lakeland Financial
LKQ,LKQ Corporation
LMAT,LeMaitre Vascular
LNC,Lincoln Financial
LNN,Lindsay Corporation
LPG,Dorian LPG Ltd.
LQDA,Liquidia Corporation
LQDT,"Liquidity Services, Inc."
LRN,"Stride, Inc."
LTC,"LTC Properties, Inc."
LTH,"Life Time Group Holdings, Inc."
LUMN,Lumen Technologies
LW,Lamb Weston
LXP,Lexington Realty Trust
LYFT,"Lyft, Inc."
LZ,"LegalZoom.com, Inc."
LZB,"La-Z-Boy, Inc."
MAC,Macerich
MAN,ManpowerGroup
MARA,"MARA Holdings, Inc."
MATW,Matthews International Corporation
MATX,"Matson, Inc."
MBC,"MasterBrand, Inc."
MBGL,"Mobility Global, Inc."
MBIN,Merchants Bancorp
MC,Moelis & Company
MCRI,"Monarch Casino & Resort, Inc."
MCY,Mercury General
MD,Pediatrix Medical Group
MDU,"MDU Resources Group, Inc."
MFP,"Midera Food Processing, Inc."
MGEE,"MGE Energy, Inc."
MGY,"Magnolia Oil & Gas, Corp."
MHK,Mohawk Industries
MHO,"M/I Homes, Inc."
MIR,"Mirion Technologies, Inc."
MKTX,MarketAxess
MLKN,"MillerKnoll, Inc."
MMI,"Marcus & Millichap, Inc."
MMSI,"Merit Medical Systems, Inc."
MPT,Medical Properties Trust
MRCY,Mercury Systems
MRP,"Millrose Properties, Inc."
MRTN,"Marten Transport, Ltd."
MSEX,Middlesex Water Company
MSGS,Madison Square Garden Sports Corp.
MTCH,Match Group
MTH,Meritage Homes Corporation
MTRN,Materion Corp.
MTUS,Metallus Inc
MTX,Minerals Technologies
MWA,Mueller Water Products
MXL,"MaxLinear, Inc."
MYRG,"MYR Group, Inc."
NABL,"N-able, Inc."
NATL,NCR Atleos
NAVI,Navient
NBHC,National Bank Holdings Corporation
NBTB,"NBT Bancorp, Inc."
NE,Noble Corporation
NEO,"NeoGenomics Laboratories, Inc."
NEOG,Neogen
NGVT,"Ingevity, Corp."
NHC,"National Healthcare, Corp."
NHI,"National Health Investors, Inc."
NIC,Nicolet Bankshares
NMIH,"NMI Holdings, Inc."
NOG,"Northern Oil and Gas, Inc."
NPK,"National Presto Industries, Inc."
NPO,"EnPro Industries, Inc."
NSIT,"Insight Enterprises, Inc."
NSP,Insperity
NSSC,Napco Security Technologies
NTCT,"NETSCOUT Systems, Inc."
NTST,NETSTREIT Corp.
NWBI,"Northwest Bancshares, Inc."
NWL,Newell Brands
NWN,NW Natural
NX,Quanex Building Products Corporation
NXRT,"NexPoint Residential Trust, Inc."
OFG,OFG Bancorp
OGN,Organon & Co.
OI,"O-I Glass, Inc."
OII,"Oceaneering International, Inc."
OMCL,Omnicell
OPLN,"OPENLANE, Inc."
OSIS,"OSI Systems, Inc."
OSW,OneSpaWorld Holdings Limited
OTTR,Otter Tail Corporation
OUT,Outfront Media
PAHC,Phibro Animal Health
PARR,"Par Pacific Holdings, Inc."
PATK,"Patrick Industries, Inc."
PAYC,Paycom
PAYO,Payoneer Global Inc.
PBH,Prestige Consumer Healthcare
PBI,"Pitney Bowes, Inc."
PCRX,"Pacira BioSciences, Inc."
PDFS,"PDF Solutions, Inc."
PEB,Pebblebrook Hotel Trust
PECO,Phillips Edison & Company
PENG,"Penguin Solutions, Inc."
PENN,Penn Entertainment
PFBC,Preferred Bank
PFS,"Provident Financial Services, Inc."
PGNY,"Progyny, Inc."
PHIN,"PHINIA, Inc."
PI,"Impinj, Inc."
PIPR,Piper Sandler Companies
PJT,"PJT Partners, Inc."
PLAB,"Photronics, Inc."
PLMR,"Palomar Holdings, Inc."
PLUS,"ePlus, Inc."
PLXS,Plexus Corp.
PMT,PennyMac Mortgage Investment Trust
POOL,Pool Corporation
POWI,Power Integrations
POWL,"Powell Industries, Inc."
PPLI,People Inc.
PRDO,Perdoceo Education Corp.
PRG,"PROG Holdings, Inc."
PRGO,Perrigo
PRGS,Progress Software Corporation
PRIM,Primoris Services Corporation
PRK,Park National Corp.
PRKS,United Parks & Resorts
PRLB,Protolabs
PRSU,"Pursuit Attractions & Hospitality, Inc."
PRVA,"Privia Health Group, Inc."
PSMT,PriceSmart
PTCT,"PTC Therapeutics, Inc."
PTEN,"Patterson-UTI Energy, Inc."
PTGX,"Protagonist Therapeutics, Inc."
PTON,"Peloton Interactive, Inc."
PZZA,Papa John's Pizza
QDEL,QuidelOrtho
QNST,"QuinStreet, Inc."
QRVO,Qorvo
QTWO,"Q2 Holdings, Inc."
RAL,Ralliant Corp
RAMP,"LiveRamp Holdings, Inc."
RCUS,"Arcus Biosciences, Inc."
RDN,"Radian Group, Inc."
RDNT,"RadNet, Inc."
RELY,Remitly
RES,"RPC, Inc."
REX,REX American Resources Corporation
REYN,Reynolds Consumer Products
REZI,"Resideo Technologies, Inc."
RHI,Robert Half
RHP,Ryman Hospitality Properties
RITM,Rithm Capital
RNG,"RingCentral, Inc."
RNST,Renasant Corp.
ROAD,"Construction Partners, Inc."
ROCK,"Gibraltar Industries, Inc."
ROG,Rogers Corporation
RRR,"Red Rock Resorts, Inc."
RSI,"Rush Street Interactive, Inc."
RUN,Sunrun
RUSHA,Rush Enterprises
RXO,"RXO, Inc."
SABR,Sabre
SAFE,"Safehold, Inc."
SAFT,"Safety Insurance Group, Inc."
SAH,"Sonic Automotive, Inc."
SBCF,Seacoast Banking Corporation of Florida
SBH,"Sally Beauty Holdings, Inc."
SBSI,"Southside Bancshares, Inc."
SCHL,Scholastic Corporation
SCL,Stepan Company
SCSC,"ScanSource, Inc."
SDGR,"Schrödinger, Inc."
SEDG,SolarEdge
SEI,"Solaris Energy Infrastructure, Inc."
SEZL,Sezzle
SFBS,"ServisFirst Bancshares, Inc."
SFNC,Simmons First National Corporation
SHAK,"Shake Shack, Inc."
SHEN,Shenandoah Telecommunications Co
SHO,"Sunstone Hotel Investors, Inc."
SHOO,"Steven Madden, Ltd."
SIG,Signet Jewelers
SKT,"Tanger Factory Outlet Centers, Inc."
SKY,"Champion Homes, Inc."
SKYW,"SkyWest, Inc."
SLG,SL Green Realty
SLVM,Sylvamo Corp.
SM,SM Energy Company
SMP,"Standard Motor Products, Inc."
SMPL,Simply Good Foods Company
SNDR,Schneider National
SNEX,StoneX Group Inc.
SONO,"Sonos, Inc."
SPHR,Sphere Entertainment
SPNT,SiriusPoint Ltd.
SPSC,"SPS Commerce, Inc."
SRPT,Sarepta Therapeutics
STAA,STAAR Surgical Company
STBA,"S&T Bancorp, Inc."
STC,Stewart Information Services Corporation
STEP,StepStone Group
STRA,"Strategic Education, Inc."
SUPN,"Supernus Pharmaceuticals, Inc."
SXI,Standex International Corporation
SXT,Sensient Technologies
TALO,"Talos Energy, Inc."
TBBK,"The Bancorp, Inc."
TDC,Teradata
TDS,"Telephone and Data Systems, Inc."
TDW,"Tidewater, Inc."
TFIN,"Triumph Bancorp, Inc."
TFX,Teleflex
TGTX,"TG Therapeutics, Inc."
THRM,Gentherm Incorporated
TILE,"Interface, Inc."
TMDX,"TransMedics Group, Inc."
TMP,Tompkins Financial Corporation
TNC,Tennant Company
TNDM,Tandem Diabetes Care
TPC,Tutor Perini Corporation
TR,"Tootsie Roll Industries, Inc."
TRIP,TripAdvisor
TRMK,Trustmark Corp.
TRN,"Trinity Industries, Inc."
TRNO,Terreno Realty Corporation
TRST,TrustCo Bank Corp NY
TRUP,Trupanion
UA,Under Armour (Class C)
UAA,Under Armour (Class A)
UCB,"United Community Banks, Inc."
UCTT,"Ultra Clean Holdings, Inc."
UE,Urban Edge Properties
UFCS,"United Fire Group, Inc."
UFPT,"UFP Technologies, Inc."
UNF,UniFirst Corporation
UNFI,United Natural Foods Inc
UNIT,Uniti Group
UPBD,"Upbound Group, Inc."
UPWK,"Upwork, Inc."
URBN,"Urban Outfitters, Inc."
USLM,"United States Lime & Minerals, Inc."
USPH,"U.S. Physical Therapy, Inc."
UTI,Universal Technical Institute
UTL,Unitil Corporation
UVV,Universal Corporation
VAC,Marriott Vacations Worldwide
VCEL,Vericel
VCTR,"Victory Capital Holdings, Inc."
VCYT,"Veracyte, Inc."
VECO,Veeco Instruments Inc.
VGNT,Versigent PLC
VIR,"Vir Biotechnology, Inc."
VIRT,"Virtu Financial, Inc."
VRRM,Verra Mobility Corporation
VRTS,"Virtus Investment Partners, Inc."
VSAT,"Viasat, Inc."
VSEC,VSE Corporation
VSH,Vishay Intertechnology
VSNT,"Versant Media Group, Inc."
VSTS,Vestis
VSXY,Victoria's Secret
VTOL,Bristow Group Inc.
VVX,"V2X, Inc."
VYX,NCR Voyix
WABC,Westamerica Bank
WAFD,"WaFd, Inc."
WAY,Waystar Holding Corp
WD,"Walker & Dunlop, Inc."
WDFC,WD-40 Company
WEN,The Wendy's Company
WERN,Werner Enterprises
WGO,"Winnebago Industries, Inc."
WHD,"Cactus, Inc."
WINA,Winmark
WKC,World Kinect Corporation
WLY,John Wiley & Sons
WOR,Worthington Enterprises
WRBY,Warby Parker
WRLD,World Acceptance Corporation
WS,Worthington Steel
WSBC,WesBanco
WSC,WillScot Holdings Corp.
WSFS,WSFS Financial Corporation
WT,"WisdomTree Investments, Inc."
WU,Western Union
WWW,"Wolverine World Wide, Inc."
XHR,"Xenia Hotels & Resorts, Inc."
XNCR,Xencor Inc
XPEL,"XPEL, Inc."
YELP,"Yelp, Inc."
YOU,"Clear Secure, Inc."
ZD,Ziff Davis
ZWS,Zurn Elkay Water Solutions Corp.
